               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.062881,            0.017884,             0.00436,           0.0012614,                   1,           0.0057102,           0.0022995,            0.047074,            0.010576,           0.0022896,            0.031126,           0.0061264,           0.0061264
                  38,            0.060076,            0.013625,           0.0044091,            0.031647,                   1,               0.995,              0.6965,            0.041194,            0.010393,           0.0014464,            0.029252,           0.0062516,           0.0062516
                  39,            0.060598,             0.01621,           0.0035141,            0.031647,                   1,               0.995,              0.6965,            0.041194,            0.010393,           0.0014464,            0.027375,           0.0063749,           0.0063749
                  40,            0.070299,            0.014004,           0.0040411,            0.022438,                   1,               0.995,               0.597,            0.038206,             0.01028,           0.0014485,            0.025496,           0.0064962,           0.0064962
                  41,            0.063055,            0.015661,           0.0036314,           0.0012618,                   1,            0.028714,            0.010348,            0.056605,           0.0090926,           0.0012585,            0.023616,           0.0066155,           0.0066155
                  42,            0.066437,            0.013347,           0.0033202,           0.0012618,                   1,            0.028714,            0.010348,            0.056605,           0.0090926,           0.0012585,            0.021733,           0.0067329,           0.0067329
                  43,            0.064697,            0.011605,           0.0033165,           0.0012165,                   1,             0.33167,             0.13326,            0.048476,           0.0095943,           0.0023473,            0.019848,           0.0068482,           0.0068482
                  44,            0.065051,            0.014895,           0.0035667,           0.0012165,                   1,             0.33167,             0.13326,            0.048476,           0.0095943,           0.0023473,            0.017962,           0.0069616,           0.0069616
                  45,            0.066748,            0.011917,           0.0037707,           0.0023221,                   1,               0.995,             0.20406,            0.044693,           0.0097703,           0.0016322,            0.016073,            0.007073,            0.007073
                  46,             0.05868,            0.011603,           0.0037235,           0.0023221,                   1,               0.995,             0.20406,            0.044693,           0.0097703,           0.0016322,            0.014182,           0.0071824,           0.0071824
